№,ГРАДОВЕ,АДРЕСИ,Снимка №,GPS координати,брой екрани,вид на екрана,размер
1,Банско,ул. "Глазне" - срещу Гранд Хотел Банско",BN2,"41.843196 x 23.487114",1,LED Екран,5.50 x 3.20
2,Бургас,ул. "Александровска"- кръговото хотел България- посока център",СА1,"42.491872 x 27.473229",3,LCD Сити Лайт,2.05 x 1.00
3,Бургас,ул. "Александровска"- кръговото хотел България- посока гарата",СА2,"42.491934 x 27.473125",3,LCD Сити Лайт,2.05 x 1.00
4,Бургас,ул. "Александровска"- кръговото площада пред Общината- топ център",СА3,"42.494167 x 27.472037",3,LCD Сити Лайт,2.05 x 1.00
5,Бургас,"Бул. "Стефан Стамболов" 81 - вход Бургас- кръговото срещу ОМВ Метро",BG4,"42.5267623 x 27.4534734",1,LED Екран,6.72 x 3.84
6,Бургас,"Бул. "Стефан Стамболов" 81 - вход Бургас- кръговото срещу ОМВ Мираж",BG5,"42.5267623 x 27.4534734",1,LED Екран,6.72 x 3.84
7,Варна,"бул.Христо Ботев 1910- посока Катедрала - страна А и Б",B1,"43.204342 x 27.908945",2,LED Екран,2.60 x 1.60
8,Варна,"бул.Цар Освободител и ул. Вяра - страна А и Б",B14,"43.232735 x 27.890179",2,LED Екран,3.90 x 2.40
9,Варна,ул. Уста Кольо Фичето №17 - склад Зърнени Храни",В20,"43.2178389 x 27.874206",1,LED Екран,2.90 x 1.80
10,Варна,"бул. "Васил Левски" и ул. "Ян Палах" Страна А и Б",В18,"43.2201956 x 27.9141069",2,LED Екран,4.80 x 3.20
11,Варна,ул. Андрей Сахаров и Бул. Сливница Страна А и Б,В21,"43.220358 x 27.898700",2,LED Екран,4.80 x 3.20
12,Велико Търново,Бул.Н.Габровски / Ул.Славянска,Т3,"43.075376 x 25.621698",1,LED Екран,4.00 x 2.50
13,Велинград,Главен път Пловдив/ път-84/-Кулата и Централна търговска улица/,VEL1," 42.02636 x 23.99144",1,LED Екран,3.60 х 2.40
14,Велинград,Главен път Пловдив/ път-84/-Кулата/-Главен вход на града,VEL2,"42.03196 x 24.00588",1,LED Екран,5.00 х 3.00
15,Велинград,ул.Търговска - пешеходна алея - LED Poster,VEL3,"42.02600 x 23.99122",1,LED Екран,1.20 X 1.60
16,Велинград,ул.Св.Св. Кирил и Методий 33А / Двустранен /,VEL4," 42.02512 x 23.99200",1,LED Екран,1.00 X 1.30
17,Враца,ул.1 - Полковник Лукашов"и ул.1 - Никола Войводов"-Център пешеходна зона",VRA1,"43.20435 x 23.54958",1,LED Екран,3.90 х 2.90
18,Габрово,пл.Възраждане Община Габрово,G2,"42.871415 x 25.316333",1,LED Екран,4.00 x 3.00
19,Габрово,"кръстовище център- посока гара и автогара",G1,"42.880356 x 25.312738",1,LED Екран,4.00 x 3.00
20,Гоце Делчев,"бул."Гоце Делчев" и ул."Пейо Яворов", градски парк център",GD1,"41.573803 x 23.734030",1,LED Екран,3.00 x 2.00
21,Добрич,ул. Батовска №1,DB1,"43.5518801 x 27.8369515",1,LED Екран,3.60 х 2.40
22,Казанлък,"бул."Александър Батенберг и хотел "Казанлък"",К1,"42.618781 x 25.394258",1,LED Екран,"3,5 x 2.40"
23,КК Слънчев Бряг,"Център - алея - срещу х-л Кубан - лице",SB1,"42.694868 x 27.711479",1,LED Екран,4.00 x 3.00
24,КК Слънчев Бряг,"Център - алея - срещу х-л Кубан - гръб",SB2,"42.694868 x 27.711479",1,LED Екран,4.00 x 3.00
25,КК Слънчев Бряг,"Център алея Кубан - комплекс Кая - към хотел Кубан",SB3,"42.694210 x 27.714414",1,LED Екран,2.75 x 1.60
